INSERTION,MERGE,QUICK,COUNTING,RADIX
0.005384,0.003764,0.003012,6e-06,7e-06
0.02874,0.033324,0.01718,1.2e-05,2.2e-05
0.053148,0.047896,0.019888,7e-06,1.3e-05
0.047624,0.084884,0.036268,1.1e-05,1.6e-05
0.06734,0.084792,0.037516,1e-05,2.1e-05
0.084924,0.109092,0.052272,1.3e-05,2.4e-05
0.1148,0.133576,0.063332,1.3e-05,2.6e-05
0.145656,0.156384,0.07804,1.5e-05,2.9e-05
0.19138,0.227796,0.09636,1.6e-05,3.4e-05
0.213488,0.208512,0.09994,1.7e-05,3.5e-05
0.246132,0.237156,0.115536,1.8e-05,4e-05
0.297936,0.260588,0.13924,1.9e-05,4.3e-05
0.337788,0.294748,0.144688,2.1e-05,4.4e-05
0.37758,0.406528,0.167396,2.3e-05,4.9e-05
0.451188,0.347524,0.177288,2.5e-05,5.3e-05
0.498792,0.377828,0.188104,2.6e-05,6e-05
0.538204,0.399192,0.202408,2.7e-05,5.8e-05
0.60434,0.4262,0.218032,2.8e-05,6.2e-05
0.672624,0.45184,0.235948,2.9e-05,6.6e-05
0.72192,0.50326,0.268724,3.2e-05,7.1e-05
0.794044,0.54148,0.274592,3.4e-05,7.4e-05
0.85424,0.552392,0.276316,3.5e-05,7.7e-05
0.97824,0.575736,0.313628,3.4e-05,7.8e-05
0.98476,0.61076,0.323512,3.8e-05,8.5e-05
1.09711,0.64724,0.337612,4.3e-05,9.1e-05
1.17154,0.677244,0.34908,4.1e-05,9.1e-05
1.33315,0.710852,0.406868,4.4e-05,9.1e-05
1.34111,0.74772,0.379352,4.7e-05,9.7e-05
1.46162,0.765436,0.38936,4.7e-05,0.0001
1.53374,0.793812,0.421136,4.9e-05,0.000102
1.68145,0.82762,0.453864,5e-05,0.000107
1.74618,0.857176,0.463292,5.1e-05,0.000111
1.95943,0.927432,0.479948,5.3e-05,0.000115
1.90534,0.94858,0.504984,5.2e-05,0.000115
2.09135,0.940052,0.525664,5.7e-05,0.000119
2.11001,0.978272,0.512284,5.7e-05,0.00013
2.28866,1.00438,0.527512,5.7e-05,0.000132
2.37207,1.03834,0.558636,5.9e-05,0.000133
2.46197,1.06719,0.572208,5.9e-05,0.000137
2.52951,1.10202,0.610596,6.1e-05,0.000135
2.73751,1.13358,0.649472,6.7e-05,0.000141
2.89287,1.19356,0.633864,6.5e-05,0.000142
3.0246,1.20676,0.657172,6.5e-05,0.000145
3.08096,1.24238,0.692204,6.7e-05,0.000151
3.28341,1.27388,0.724708,7.1e-05,0.000154
3.34412,1.31288,0.760884,7.2e-05,0.000155
3.51041,1.35022,0.730904,7.3e-05,0.000161
3.65386,1.41038,0.907692,0.000103,0.000177
4.25187,1.50935,0.999296,9.9e-05,0.000187
4.12597,1.77679,0.856932,9.7e-05,0.00017
4.23308,1.88851,0.868448,9.8e-05,0.000211
4.34946,1.6073,0.841476,8e-05,0.000184
4.66002,1.73903,1.25159,8.3e-05,0.000189
5.09176,1.96854,0.868832,8.2e-05,0.000182
4.69592,1.65926,0.875264,8.3e-05,0.000186
4.87504,1.68513,0.924572,8.6e-05,0.000192
5.25471,1.91782,1.02832,0.00012,0.000215
5.40792,1.87218,1.00832,9e-05,0.000196
5.31461,1.7363,0.986732,9.6e-05,0.000207
5.77665,1.81579,1.08203,9.2e-05,0.000201
5.9582,1.84928,1.04724,9.4e-05,0.000222
6.34115,3.13481,1.18637,0.000151,0.000333
8.0127,2.77846,1.81689,0.000258,0.000462
8.71645,3.46511,1.47196,0.000191,0.000255
6.82487,1.93589,1.09591,9.9e-05,0.00022
8.02654,2.58106,1.37108,0.000138,0.000256
9.5139,3.03184,1.30056,0.000104,0.000227
9.43662,3.22751,1.26887,0.000126,0.000307
8.74303,3.11716,1.25544,0.000113,0.000246
9.07694,2.83295,1.30134,0.000116,0.000293
8.55371,3.46681,1.45995,0.000108,0.000239
8.13226,2.17705,1.20831,0.000111,0.000244
9.40336,2.36862,1.39936,0.000113,0.000248
8.60838,2.32935,1.38053,0.000149,0.000282
8.79245,2.30196,1.32864,0.000123,0.000385
8.76426,2.4031,1.36838,0.000122,0.000268
9.10839,2.36071,1.31732,0.000114,0.00026
9.57716,2.50457,1.37428,0.000117,0.000261
9.7767,2.4969,1.36562,0.000122,0.000267
9.60095,2.70945,1.43437,0.000122,0.000282
11.7468,2.62984,1.59959,0.000125,0.000275
11.6775,2.77349,1.48201,0.000126,0.000278
11.0992,2.54758,1.50782,0.000125,0.000276
10.6632,2.59099,1.46964,0.000125,0.00028
10.5699,4.36846,1.53575,0.000135,0.000327
11.3925,2.6952,1.50203,0.00013,0.000293
11.3694,2.68792,1.57649,0.00013,0.000322
11.6311,2.78257,1.57049,0.000131,0.000296
11.7118,4.2349,1.57583,0.000132,0.0003
11.9667,2.82101,1.68415,0.000208,0.000509
14.4431,3.05906,1.74177,0.000137,0.000306
14.9174,3.53161,1.91283,0.00014,0.000308
15.8772,3.2281,1.88935,0.000141,0.000314
15.8055,3.97728,2.16636,0.000158,0.000336
15.4952,3.11458,1.67033,0.000144,0.000318
13.7202,3.22928,1.77754,0.000143,0.000321
14.2049,3.39318,1.8068,0.000155,0.000341
14.2477,3.37357,1.91586,0.000212,0.000482
15.5452,4.06144,1.78734,0.000207,0.000332
15.5137,3.29956,1.91807,0.00015,0.000338
